year,year_index,geo,income_quintile,expense_category,coordinate,expense,log_expense,age_group,family_income_group,income,log_income,expense_to_income_ratio
2010,0,Province 1,All quintiles,Total expenditure,C1,72075.0,4.857785,Total all ages,All income groups,7989380.0,6.902513,0.00902135
2010,0,Province 1,All quintiles,Household operations,C10,3887.0,3.589615,Total all ages,"$45,000 and over",6052150.0,6.78191,0.00064225
2010,0,Province 1,Highest quintile,Household appliances,C100,733.0,2.865104,55 to 64 years,"$80,000 and over",879740.0,5.944354,0.0008332
2010,0,Province 1,Highest quintile,Clothing and accessories,C101,6334.0,3.801678,55 to 64 years,"$90,000 and over",765010.0,5.883667,0.00827963
2010,0,Province 1,Highest quintile,Transportation,C102,19274.0,4.284972,55 to 64 years,Median total income,85750.0,4.933234,0.22476968
2010,0,Province 1,All quintiles,Communications,C11,1742.0,3.241048,Total all ages,"$50,000 and over",5719630.0,6.757368,0.00030457
2010,0,Province 1,All quintiles,Household furnishings and equipment,C12,1972.0,3.294907,Total all ages,"$60,000 and over",5059180.0,6.70408,0.00038979
2010,0,Province 1,All quintiles,Household furnishings,C13,896.0,2.952308,Total all ages,"$70,000 and over",4420250.0,6.645447,0.0002027
2010,0,Province 1,All quintiles,Household equipment,C14,944.0,2.974972,Total all ages,"$75,000 and over",4111920.0,6.614045,0.00022958
2010,0,Province 1,All quintiles,Household appliances,C15,415.0,2.618048,Total all ages,"$80,000 and over",3815020.0,6.581497,0.00010878
2010,0,Province 1,All quintiles,Clothing and accessories,C16,3467.0,3.539954,Total all ages,"$90,000 and over",3258520.0,6.51302,0.00106398
2010,0,Province 1,All quintiles,Transportation,C17,11156.0,4.047509,Total all ages,Median total income,76950.0,4.886209,0.14497726
2010,0,Province 1,Lowest quintile,Total expenditure,C18,29151.0,4.464653,0 to 24 years,All income groups,133350.0,5.124993,0.21860517
2010,0,Province 1,Lowest quintile,Food purchased from stores,C19,3466.0,3.539829,0 to 24 years,"Under $10,000",12780.0,4.106531,0.27120501
2010,0,Province 1,All quintiles,Food purchased from stores,C2,5709.0,3.75656,Total all ages,"Under $10,000",189700.0,5.278067,0.03009489
2010,0,Province 1,Lowest quintile,Food purchased from restaurants,C20,967.0,2.985426,0 to 24 years,"$10,000 and over",120570.0,5.081239,0.00802024
2010,0,Province 1,Lowest quintile,Shelter,C21,9223.0,3.964872,0 to 24 years,"$15,000 and over",111560.0,5.047509,0.082673
2010,0,Province 1,Lowest quintile,Principal accommodation,C22,8742.0,3.941611,0 to 24 years,"$20,000 and over",100830.0,5.00359,0.08670039
2010,0,Province 1,Lowest quintile,Rented living quarters,C23,4818.0,3.682867,0 to 24 years,"$25,000 and over",89240.0,4.95056,0.05398924
2010,0,Province 1,Lowest quintile,Owned living quarters,C24,2693.0,3.430236,0 to 24 years,"$30,000 and over",77820.0,4.891091,0.0346055
2010,0,Province 1,Lowest quintile,"Water, fuel and electricity for principal accommodation",C25,1232.0,3.090611,0 to 24 years,"$35,000 and over",66800.0,4.824776,0.01844311
2010,0,Province 1,Lowest quintile,Other accommodation,C26,480.0,2.681241,0 to 24 years,"$40,000 and over",56360.0,4.750971,0.00851668
2010,0,Province 1,Lowest quintile,Household operations,C27,2063.0,3.314499,0 to 24 years,"$45,000 and over",47150.0,4.673482,0.04375398
2010,0,Province 1,Lowest quintile,Communications,C28,1079.0,3.033021,0 to 24 years,"$50,000 and over",39130.0,4.59251,0.02757475
2010,0,Province 1,Lowest quintile,Household furnishings and equipment,C29,789.0,2.897077,0 to 24 years,"$60,000 and over",26480.0,4.422918,0.02979607
